INVOICE_NO,CHIPSET / ASP,CPU / MPU,DISCRETE,LINEAR IC,LOGIC IC,MEMORY_EMBEDED,MEMORY_SYSTEM,OPTICAL AND SENSOR,OTHERS,PEMCO
216071503,0.0,0.0,10000.0,6500.0,0.0,3000.0,0.0,0.0,0.0,4000.0
216071538,0.0,0.0,0.0,3500.0,35000.0,0.0,0.0,0.0,0.0,0.0
216071544,0.0,0.0,0.0,83000.0,96000.0,0.0,0.0,0.0,0.0,0.0
216071546,0.0,0.0,0.0,507000.0,36000.0,0.0,0.0,0.0,0.0,0.0
216071547,0.0,2500.0,0.0,147000.0,46000.0,0.0,0.0,0.0,66000.0,0.0
216071548,0.0,0.0,0.0,7500.0,18000.0,0.0,0.0,0.0,0.0,0.0
216071550,0.0,0.0,0.0,126500.0,6000.0,0.0,0.0,0.0,0.0,0.0
216071555,0.0,122000.0,0.0,152000.0,46000.0,0.0,0.0,0.0,0.0,0.0
216071557,0.0,0.0,18000.0,82000.0,0.0,0.0,0.0,6480.0,0.0,0.0
216071559,0.0,0.0,1747000.0,0.0,0.0,0.0,0.0,0.0,450000.0,0.0
216071560,0.0,0.0,6000.0,0.0,17500.0,0.0,0.0,0.0,0.0,0.0
216071564,0.0,0.0,6000.0,22000.0,32500.0,0.0,0.0,0.0,0.0,0.0
216071565,0.0,0.0,24000.0,0.0,0.0,6000.0,0.0,0.0,0.0,1000.0
216071570,0.0,0.0,0.0,2500.0,3000.0,0.0,0.0,0.0,0.0,0.0
216071574,0.0,0.0,0.0,96000.0,36000.0,0.0,0.0,0.0,0.0,0.0
216071575,0.0,0.0,45000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
216071584,0.0,0.0,1500.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0
216071586,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071588,0.0,0.0,439310.0,0.0,0.0,0.0,0.0,63800.0,0.0,0.0
216071591,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071596,0.0,0.0,0.0,594000.0,0.0,0.0,0.0,0.0,23500.0,2500.0
216071631,0.0,0.0,638000.0,1045000.0,128000.0,0.0,12000.0,0.0,0.0,120000.0
216071632,0.0,0.0,122000.0,13500.0,0.0,0.0,0.0,0.0,0.0,10000.0
216071653,0.0,0.0,2500.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0
216071657,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071661,0.0,0.0,567000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0
216071662,0.0,0.0,0.0,121500.0,48000.0,0.0,0.0,0.0,0.0,0.0
216071676,0.0,0.0,0.0,33000.0,3000.0,34500.0,0.0,0.0,0.0,0.0
216071681,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071688,0.0,0.0,0.0,468500.0,10000.0,0.0,0.0,0.0,0.0,0.0
216071710,0.0,0.0,505373.0,108.0,23553.0,0.0,0.0,30099.0,0.0,0.0
216071711,0.0,0.0,792160.0,4001.0,9631.0,0.0,0.0,14766.0,0.0,0.0
216071712,0.0,0.0,13400963.0,277200.0,13970.0,0.0,0.0,585435.0,0.0,0.0
216071713,0.0,0.0,30000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
216071727,490506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071731,0.0,0.0,0.0,24000.0,9000.0,0.0,0.0,0.0,0.0,0.0
216071739,0.0,0.0,18000.0,164500.0,96000.0,0.0,0.0,0.0,0.0,0.0
216071757,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071766,0.0,0.0,52000.0,0.0,0.0,0.0,0.0,0.0,95000.0,0.0
216071782,0.0,0.0,118000.0,17500.0,0.0,0.0,0.0,0.0,0.0,22000.0
216071785,0.0,0.0,114500.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0
216071807,0.0,0.0,156000.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0
216071808,0.0,0.0,12000.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0
